"county_i","county_j","flow","Dist-ph","resdist","empldist"
10,21,563,224,"77670.95",153352
10,22,803,225,"77670.95","105186.3"
10,23,117,226,"77670.95","306569.5"
11,1,0,227,"202339.4","356365.4"
11,2,511,228,"202339.4","272892.8"
11,3,104,229,"202339.4",238833
11,4,3676,230,"202339.4","196036.8"
11,5,1957,231,"202339.4","162334.7"
11,6,29001,232,"202339.4","174899.8"
11,7,7872,233,"202339.4","104210.2"
11,8,926,234,"202339.4","130580.4"
11,9,9953,235,"202339.4","327006.1"
11,10,8174,236,"202339.4","77670.95"
11,11,172781,237,"202339.4","202339.4"
11,12,3037,238,"202339.4","88204.77"
11,13,3265,239,"202339.4","73216.05"
11,14,5832,240,"202339.4","33011.23"
11,15,72,241,"202339.4","137902.3"
11,16,21555,242,"202339.4",0
11,17,3565,243,"202339.4","48877.46"
11,18,299,244,"202339.4","39163.93"
11,19,953,245,"202339.4","46973.45"
11,20,0,246,"202339.4","243787.8"
11,21,186,247,"202339.4",153352
11,22,422,248,"202339.4","105186.3"
11,23,70,249,"202339.4","306569.5"
12,1,0,250,"88204.77","356365.4"
12,2,59,251,"88204.77","272892.8"
12,3,49,252,"88204.77",238833
12,4,553,253,"88204.77","196036.8"
12,5,559,254,"88204.77","162334.7"
12,6,2816,255,"88204.77","174899.8"
12,7,1349,256,"88204.77","104210.2"
12,8,329,257,"88204.77","130580.4"
12,9,61,258,"88204.77","327006.1"
12,10,1538,259,"88204.77","77670.95"
12,11,532,260,"88204.77","202339.4"
12,12,84629,261,"88204.77","88204.77"
12,13,1012,262,"88204.77","73216.05"
12,14,2850,263,"88204.77","33011.23"
12,15,86,264,"88204.77","137902.3"
12,16,52078,265,"88204.77",0
12,17,28173,266,"88204.77","48877.46"
12,18,1028,267,"88204.77","39163.93"
12,19,5368,268,"88204.77","46973.45"
12,20,14,269,"88204.77","243787.8"
12,21,298,270,"88204.77",153352
12,22,1071,271,"88204.77","105186.3"
12,23,173,272,"88204.77","306569.5"
13,1,0,273,"73216.05","356365.4"
13,2,112,274,"73216.05","272892.8"
13,3,311,275,"73216.05",238833
13,4,1329,276,"73216.05","196036.8"
13,5,9080,277,"73216.05","162334.7"
13,6,3883,278,"73216.05","174899.8"
13,7,4711,279,"73216.05","104210.2"
13,8,22930,280,"73216.05","130580.4"
13,9,337,281,"73216.05","327006.1"
13,10,16974,282,"73216.05","77670.95"
13,11,904,283,"73216.05","202339.4"
13,12,544,284,"73216.05","88204.77"
13,13,242991,285,"73216.05","73216.05"
13,14,24581,286,"73216.05","33011.23"
13,15,5510,287,"73216.05","137902.3"
13,16,59444,288,"73216.05",0
13,17,3701,289,"73216.05","48877.46"
13,18,5087,290,"73216.05","39163.93"
13,19,3656,291,"73216.05","46973.45"
13,20,18,292,"73216.05","243787.8"
13,21,3447,293,"73216.05",153352
13,22,1350,294,"73216.05","105186.3"
13,23,268,295,"73216.05","306569.5"
14,1,0,296,"33011.23","356365.4"
14,2,251,297,"33011.23","272892.8"
14,3,142,298,"33011.23",238833
14,4,1351,299,"33011.23","196036.8"
14,5,4731,300,"33011.23","162334.7"
14,6,5173,301,"33011.23","174899.8"
14,7,6289,302,"33011.23","104210.2"
14,8,4681,303,"33011.23","130580.4"
14,9,265,304,"33011.23","327006.1"
14,10,18377,305,"33011.23","77670.95"
14,11,871,306,"33011.23","202339.4"
14,12,858,307,"33011.23","88204.77"
14,13,25273,308,"33011.23","73216.05"
14,14,119286,309,"33011.23","33011.23"
14,15,424,310,"33011.23","137902.3"
14,16,57220,311,"33011.23",0
14,17,3459,312,"33011.23","48877.46"
14,18,1154,313,"33011.23","39163.93"
14,19,2160,314,"33011.23","46973.45"
14,20,10,315,"33011.23","243787.8"
14,21,539,316,"33011.23",153352
14,22,1723,317,"33011.23","105186.3"
14,23,107,318,"33011.23","306569.5"
15,1,0,319,"137902.3","356365.4"
15,2,20,320,"137902.3","272892.8"
15,3,15,321,"137902.3",238833
15,4,108,322,"137902.3","196036.8"
15,5,817,323,"137902.3","162334.7"
15,6,285,324,"137902.3","174899.8"
15,7,332,325,"137902.3","104210.2"
15,8,1096,326,"137902.3","130580.4"
15,9,20,327,"137902.3","327006.1"
15,10,815,328,"137902.3","77670.95"
15,11,32,329,"137902.3","202339.4"
15,12,102,330,"137902.3","88204.77"
15,13,12251,331,"137902.3","73216.05"
15,14,951,332,"137902.3","33011.23"
15,15,71391,333,"137902.3","137902.3"
15,16,16574,334,"137902.3",0
15,17,1797,335,"137902.3","48877.46"
15,18,6003,336,"137902.3","39163.93"
15,19,1406,337,"137902.3","46973.45"
15,20,144,338,"137902.3","243787.8"
15,21,10720,339,"137902.3",153352
15,22,481,340,"137902.3","105186.3"
15,23,92,341,"137902.3","306569.5"
16,1,0,342,0,"356365.4"
16,2,102,343,0,"272892.8"
16,3,218,344,0,238833
16,4,449,345,0,"196036.8"
16,5,1406,346,0,"162334.7"
16,6,1813,347,0,"174899.8"
16,7,966,348,0,"104210.2"
16,8,889,349,0,"130580.4"
16,9,172,350,0,"327006.1"
16,10,2834,351,0,"77670.95"
16,11,271,352,0,"202339.4"
16,12,2720,353,0,"88204.77"
16,13,7110,354,0,"73216.05"
16,14,5453,355,0,"33011.23"
16,15,949,356,0,"137902.3"
16,16,627495,357,0,0
16,17,25042,358,0,"48877.46"
16,18,20194,359,0,"39163.93"
16,19,19677,360,0,"46973.45"
16,20,57,361,0,"243787.8"
16,21,7370,362,0,153352
16,22,5997,363,0,"105186.3"
16,23,1507,364,0,"306569.5"
17,1,0,365,"48877.46","356365.4"
17,2,75,366,"48877.46","272892.8"
17,3,39,367,"48877.46",238833
17,4,470,368,"48877.46","196036.8"
17,5,747,369,"48877.46","162334.7"
17,6,1646,370,"48877.46","174899.8"
17,7,1441,371,"48877.46","104210.2"
17,8,506,372,"48877.46","130580.4"
17,9,173,373,"48877.46","327006.1"
17,10,2168,374,"48877.46","77670.95"
17,11,562,375,"48877.46","202339.4"
17,12,8832,376,"48877.46","88204.77"
17,13,3137,377,"48877.46","73216.05"
17,14,5560,378,"48877.46","33011.23"
17,15,610,379,"48877.46","137902.3"
