x_i,y_i,x_j,y_j,f_ij,f_ji
33011.230000,33011.230000,33011.230000,33011.230000,119286,0
130580.400000,153352.000000,153352.000000,130580.400000,439,360
196036.800000,0.000000,0.000000,196036.800000,6023,449
327006.100000,0.000000,0.000000,327006.100000,2853,172
174899.800000,306569.500000,306569.500000,174899.800000,76,130
162334.700000,153352.000000,153352.000000,162334.700000,439,336
202339.400000,153352.000000,153352.000000,202339.400000,186,38
77670.950000,306569.500000,306569.500000,77670.950000,117,317
104210.200000,105186.300000,105186.300000,104210.200000,338,182
88204.770000,105186.300000,105186.300000,88204.770000,1071,1259
272892.800000,48877.460000,48877.460000,272892.800000,58,75
33011.230000,0.000000,0.000000,33011.230000,57220,5453
48877.460000,39163.930000,39163.930000,48877.460000,10776,16728
73216.050000,306569.500000,306569.500000,73216.050000,268,511
238833.000000,88204.770000,88204.770000,238833.000000,69,49
356365.400000,88204.770000,88204.770000,356365.400000,98,0
130580.400000,88204.770000,88204.770000,130580.400000,180,329
196036.800000,137902.300000,137902.300000,196036.800000,38,108
272892.800000,202339.400000,202339.400000,272892.800000,376,511
327006.100000,327006.100000,327006.100000,327006.100000,119727,0
137902.300000,137902.300000,137902.300000,137902.300000,71391,0
162334.700000,33011.230000,33011.230000,162334.700000,4507,4731
33011.230000,39163.930000,39163.930000,33011.230000,1154,2428
238833.000000,39163.930000,39163.930000,238833.000000,92,28
77670.950000,33011.230000,33011.230000,77670.950000,15423,18377
130580.400000,39163.930000,39163.930000,130580.400000,459,519
174899.800000,73216.050000,73216.050000,174899.800000,5363,3883
196036.800000,153352.000000,153352.000000,196036.800000,122,92
202339.400000,137902.300000,137902.300000,202339.400000,72,32
327006.100000,46973.450000,46973.450000,327006.100000,219,44
104210.200000,130580.400000,130580.400000,104210.200000,2483,2805
174899.800000,0.000000,0.000000,174899.800000,24375,1813
202339.400000,0.000000,0.000000,202339.400000,21555,271
356365.400000,153352.000000,153352.000000,356365.400000,110,0
104210.200000,153352.000000,153352.000000,104210.200000,217,273
105186.300000,306569.500000,306569.500000,105186.300000,47659,85881
73216.050000,73216.050000,73216.050000,73216.050000,242991,0
272892.800000,39163.930000,39163.930000,272892.800000,4,18
238833.000000,202339.400000,202339.400000,238833.000000,181,104
356365.400000,137902.300000,137902.300000,356365.400000,111,0
130580.400000,327006.100000,327006.100000,130580.400000,144,766
196036.800000,88204.770000,88204.770000,196036.800000,339,553
272892.800000,88204.770000,88204.770000,272892.800000,145,59
137902.300000,46973.450000,46973.450000,137902.300000,1406,562
238833.000000,48877.460000,48877.460000,238833.000000,127,39
33011.230000,105186.300000,105186.300000,33011.230000,1723,1571
153352.000000,306569.500000,306569.500000,153352.000000,451,1136
174899.800000,33011.230000,33011.230000,174899.800000,8080,5173
137902.300000,105186.300000,105186.300000,137902.300000,481,190
104210.200000,137902.300000,137902.300000,104210.200000,168,332
88204.770000,73216.050000,73216.050000,88204.770000,1012,544
356365.400000,0.000000,0.000000,356365.400000,1006,0
73216.050000,0.000000,0.000000,73216.050000,59444,7110
272892.800000,306569.500000,306569.500000,272892.800000,4,4
356365.400000,162334.700000,162334.700000,356365.400000,1255,0
0.000000,105186.300000,105186.300000,0.000000,5997,92031
238833.000000,174899.800000,174899.800000,238833.000000,677,274
272892.800000,272892.800000,272892.800000,272892.800000,25691,0
356365.400000,77670.950000,77670.950000,356365.400000,386,0
0.000000,48877.460000,48877.460000,0.000000,25042,332975
33011.230000,153352.000000,153352.000000,33011.230000,539,1005
174899.800000,202339.400000,202339.400000,174899.800000,11713,29001
162334.700000,48877.460000,48877.460000,162334.700000,763,747
39163.930000,39163.930000,39163.930000,39163.930000,165382,0
77670.950000,46973.450000,46973.450000,77670.950000,988,1848
46973.450000,105186.300000,105186.300000,46973.450000,62232,63386
104210.200000,39163.930000,39163.930000,104210.200000,392,571
88204.770000,39163.930000,39163.930000,88204.770000,1028,2049
356365.400000,46973.450000,46973.450000,356365.400000,211,15
48877.460000,105186.300000,105186.300000,48877.460000,11984,28361
0.000000,306569.500000,306569.500000,0.000000,1507,38971
73216.050000,46973.450000,46973.450000,73216.050000,3656,4006
39163.930000,153352.000000,153352.000000,39163.930000,28017,25750
196036.800000,202339.400000,202339.400000,196036.800000,1325,3676
238833.000000,162334.700000,162334.700000,238833.000000,19889,2461
272892.800000,104210.200000,104210.200000,272892.800000,3058,990
327006.100000,73216.050000,73216.050000,327006.100000,1547,337
162334.700000,77670.950000,77670.950000,162334.700000,24715,23415
196036.800000,174899.800000,174899.800000,196036.800000,26288,26391
238833.000000,105186.300000,105186.300000,238833.000000,42,4
77670.950000,77670.950000,77670.950000,77670.950000,171997,0
39163.930000,105186.300000,105186.300000,39163.930000,3266,5867
130580.400000,105186.300000,105186.300000,130580.400000,272,179
162334.700000,104210.200000,104210.200000,162334.700000,8292,10810
